epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6296,2.88475,6.59713,1.13161,0.69172,0.79733,0.79776,0.2692,2.10431,6.06422,0.88799,0.000651515,0.000651515,0.000651515
2,19.8724,2.06596,1.67319,0.888,0.8492,0.832,0.84574,0.29687,2.12244,2.87979,0.90372,0.0013181,0.0013181,0.0013181
3,28.7509,2.13045,1.26057,0.90931,0.7743,0.79591,0.81617,0.26137,2.37688,1.49776,0.97024,0.00198436,0.00198436,0.00198436
4,37.463,2.09131,1.03964,0.8909,0.58142,0.936,0.58276,0.24263,1.92445,1.61936,0.87252,0.0019989,0.0019989,0.0019989
5,46.2211,1.99115,0.94999,0.88582,0.85268,0.92604,0.9026,0.40749,1.75335,0.97639,0.90392,0.00199805,0.00199805,0.00199805
6,55.0677,1.99301,0.90442,0.90822,0.91844,0.96267,0.96347,0.41199,1.86893,0.91622,0.86578,0.00199695,0.00199695,0.00199695
7,63.7426,1.97137,0.88348,0.88288,0.91616,0.92533,0.90679,0.35276,2.10567,0.87124,0.86274,0.00199561,0.00199561,0.00199561
8,72.536,1.98645,0.88023,0.8724,0.912,0.952,0.93976,0.44612,1.79739,0.83922,0.85519,0.00199402,0.00199402,0.00199402
9,81.4419,1.85899,0.80427,0.85056,0.91732,0.96267,0.93712,0.43916,1.75427,0.75665,0.84164,0.00199219,0.00199219,0.00199219
10,90.2238,1.88469,0.78293,0.8689,0.91224,0.90133,0.90676,0.4148,1.77593,0.77981,0.8602,0.00199012,0.00199012,0.00199012
11,98.8988,1.91803,0.7995,0.86082,0.90443,0.9337,0.93233,0.41421,1.7887,0.7656,0.84325,0.00198781,0.00198781,0.00198781
12,107.736,1.7611,0.76642,0.84792,0.92829,0.93333,0.92842,0.4285,1.78295,0.71662,0.84288,0.00198526,0.00198526,0.00198526
13,117.241,1.89936,0.75799,0.86561,0.92863,0.9369,0.94568,0.45288,1.7007,0.69082,0.8518,0.00198246,0.00198246,0.00198246
14,126.495,1.83481,0.73863,0.86546,0.95101,0.96267,0.9705,0.48494,1.66091,0.70049,0.83761,0.00197943,0.00197943,0.00197943
15,137.157,1.87837,0.79464,0.8407,0.95487,0.968,0.95913,0.43516,1.75971,0.70505,0.82646,0.00197616,0.00197616,0.00197616
16,147.01,1.81723,0.75837,0.85575,0.96123,0.96,0.96319,0.47106,1.69385,0.69092,0.84169,0.00197265,0.00197265,0.00197265
17,156.315,1.79687,0.75329,0.84866,0.94569,0.97333,0.96937,0.49405,1.63663,0.72624,0.8258,0.0019689,0.0019689,0.0019689
